drug	0	1	2	3	4	5	6	7	8	9	brandred
doxazosin_mesylate	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	0.111888111888
candesartan_cilexetil	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	0.75
aprepitant	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	1.0
methadone_hydrochloride	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	0.115879828326
theophylline	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	0.22643442623
acetaminophen_butalbital	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	Analg/Antipyr, Salicylates	0.402777777778
methyldopa	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	0.0258449304175
azathioprine	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	0.128571428571
adalimumab	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	1.0
chorionic_gonadotropin	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	Gonadotropins	0.0977443609023
hydrochlorothiazide_telmisartan	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	1.0
multivitamin_and_iron	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	0.46218487395
rifampin	Antituberculosis Agents	Antituberculosis Agents	Antituberculosis Agents	Antituberculosis Agents	Antituberculosis Agents	Antituberculosis Agents	Antituberculosis Agents	Antituberculosis Agents	Antituberculosis Agents	Antituberculosis Agents	0.145299145299
sulfasalazine	Sulfonamides & Comb	Sulfonamides & Comb	Sulfonamides & Comb	Sulfonamides & Comb	Sulfonamides & Comb	Sulfonamides & Comb	Sulfonamides & Comb	Sulfonamides & Comb	Sulfonamides & Comb	Sulfonamides & Comb	0.0446428571429
ursodiol	Cholelitholytic Agents	Cholelitholytic Agents	Cholelitholytic Agents	Cholelitholytic Agents	Cholelitholytic Agents	Cholelitholytic Agents	Cholelitholytic Agents	Cholelitholytic Agents	Cholelitholytic Agents	Cholelitholytic Agents	0.173913043478
insulin_human_isophane__nph__insulin_human_r	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	0.607142857143
conjugated_estrogens_synthetic_a	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	Estrogens & Comb	1.0
trimethobenzamide_hydrochloride	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	Antiemetics	0.180672268908
sodium_chloride	Eye/Ear/Nose/Throat Misc	Eyewash/Eyestrm/Lubr/Tear	Eyewash/Eyestrm/Lubr/Tear	Eyewash/Eyestrm/Lubr/Tear	Misc Therapeutic Agents	Misc Therapeutic Agents	Eyewash/Eyestrm/Lubr/Tear	Eye/Ear/Nose/Throat Misc	Eyewash/Eyestrm/Lubr/Tear	Eye/Ear/Nose/Throat Misc	0.138728323699
epinastine_hydrochloride	Antiallergic Agents	Antiallergic Agents	Antiallergic Agents	Antiallergic Agents	Antiallergic Agents	Antiallergic Agents	Antiallergic Agents	Antiallergic Agents	Antiallergic Agents	Antiallergic Agents	0.222222222222
calcipotriene	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	0.704545454545
fenofibric_acid	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	0.444444444444
clorazepate_dipotassium	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	ASH, Benzodiazepines	0.0418502202643
clonidine	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	Hypotensive Agents	0.588235294118
cpm_phenyleph_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.251428571429
cyanocobalamin_folic_acid_pyridoxine	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	Multivit Prep, Multivit Plain	0.519230769231
etanercept	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	Immunosuppressants	1.0
pirbuterol_acetate	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	1.0
clindamycin_palmitate_hydrochloride	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.333333333333
tapentadol_hydrochloride	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	Analg/Antipyr, Opiate Agonists	1.0
benazepril_hydrochloride_hydrochlorothiazide	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	Cardiac, ACE Inhibitors	0.217948717949
liraglutide	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	1.0
loratadine	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.286532951289
nadolol	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	0.194285714286
oxiconazole_nitrate	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	1.0
calcitriol	Vitamin D	Vitamin D	Vitamin D	Vitamin D	Vitamin D	Vitamin D	Vitamin D	Vitamin D	Vitamin D	Vitamin D	0.347826086957
imipramine_hydrochloride	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	Psychother, Antidepressants	0.0325732899023
difluprednate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	1.0
chlorthalidone	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	0.0299145299145
salmeterol_xinafoate	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	Sympathomimetic Agents	1.0
telmisartan	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	Cardiac Drugs	1.0
dexmethylphenidate_hydrochloride	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	Stimulant, Amphetamine Type	0.875
fluvastatin_sodium	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	Antihyperlipidemic Drugs	0.777777777778
cpm_methscopolamine_nitrate_pse_hcl	Antitussives/Cold Comb	Anticholinergic	Antitussives/Cold Comb	Antitussives/Cold Comb	Anticholinergic	Antitussives/Cold Comb	Anticholinergic	Anticholinergic	Anticholinergic	Anticholinergic	0.375
tinidazole	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	Anti-Infectives, Misc	0.236842105263
phenytoin_sodium__extended	Anticonv, Hydantoin Derivative	Anticonv, Hydantoin Derivative	Anticonv, Hydantoin Derivative	Anticonv, Hydantoin Derivative	Anticonv, Hydantoin Derivative	Anticonv, Hydantoin Derivative	Anticonv, Hydantoin Derivative	Anticonv, Hydantoin Derivative	Anticonv, Hydantoin Derivative	Anticonv, Hydantoin Derivative	0.356643356643
dorzolamide_hydrochloride_timolol_maleate	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	0.619047619048
cefpodoxime_proxetil	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	Antibiot, Cephalosporin & Rel.	0.445945945946
ramelteon	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	Anxiolytic/Sedative/Hypnot	1.0
methotrexate	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	0.0
acetic_acid_hydrocortisone	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.0576923076923
mefloquine_hydrochloride	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	Antimalarial Agents	0.444444444444
selenium_sulfide	Keratoplastic Agents S/MM	Keratoplastic Agents S/MM	Keratoplastic Agents S/MM	Keratoplastic Agents S/MM	Keratoplastic Agents S/MM	Keratoplastic Agents S/MM	Keratoplastic Agents S/MM	Keratoplastic Agents S/MM	Keratoplastic Agents S/MM	Keratoplastic Agents S/MM	0.304
estrogen_progestin_folate_combination	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	1.0
felodipine	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	Cardiac, Calcium Channel	0.431578947368
darifenacin_hydrobromide	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	Muscle Rel,Smooth-Genitour	1.0
metolazone	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	Diuretics, Thiazides & Related	0.433333333333
bumetanide	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	0.151351351351
chlorzoxazone	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	Muscle Relax, Skeletal Central	0.0440414507772
salicylic_acid	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Keratolytic Agents S/MM	Keratolytic Agents S/MM	Keratolytic Agents S/MM	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Antiinf S/MM, Antiinf Loc Misc	Keratolytic Agents S/MM	0.713347921225
bacitracin	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.0379746835443
torsemide	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	Diuretics, Loop Diuretics	0.260504201681
metformin_hydrochloride_sitagliptin_phosphat	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	Antidiabetic Agents, Misc	1.0
insulin_detemir	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	1.0
leuprolide_acetate	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	Antineoplastic Agents	0.75
naftifine_hydrochloride	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	Antiinf S/MM,Antifungal & Comb	1.0
methimazole	Thy/Antithy, Antithyroid Agent	Thy/Antithy, Antithyroid Agent	Thy/Antithy, Antithyroid Agent	Thy/Antithy, Antithyroid Agent	Thy/Antithy, Antithyroid Agent	Thy/Antithy, Antithyroid Agent	Thy/Antithy, Antithyroid Agent	Thy/Antithy, Antithyroid Agent	Thy/Antithy, Antithyroid Agent	Thy/Antithy, Antithyroid Agent	0.12676056338
carbidopa_levodopa	CNS Agents, Misc.	CNS Agents, Misc.	Misc Therapeutic Agents	Misc Therapeutic Agents	CNS Agents, Misc.	CNS Agents, Misc.	Misc Therapeutic Agents	CNS Agents, Misc.	CNS Agents, Misc.	CNS Agents, Misc.	0.1
alclometasone_dipropionate	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	0.53488372093
acetazolamide	Diuretic, Carb Anhydrase Inhib	Diuretic, Carb Anhydrase Inhib	Diuretic, Carb Anhydrase Inhib	Diuretic, Carb Anhydrase Inhib	Diuretic, Carb Anhydrase Inhib	Diuretic, Carb Anhydrase Inhib	Diuretic, Carb Anhydrase Inhib	Diuretic, Carb Anhydrase Inhib	Diuretic, Carb Anhydrase Inhib	Diuretic, Carb Anhydrase Inhib	0.0859728506787
prochlorperazine	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Antiemetics	Antiemetics	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Psychother,Tranq/Antipsychotic	Antiemetics	0.151658767773
phenyleph_hcl_promethazine_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.0649350649351
alendronate_sodium_cholecalciferol	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	1.0
erythromycin_stearate	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	Antiinfect, Antibiotics EENT	0.263485477178
dm_hydrobrom_gg_phenyleph_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.446043165468
amiodarone_hydrochloride	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	Cardiac, Antiarrhythmic Agents	0.146551724138
amantadine_hydrochloride	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	Antivirals	0.0477941176471
insulin_human_regular	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	Antidiabetic Agents, Insulins	0.551724137931
levonorgestrel	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	0.846153846154
atenolol_chlorthalidone	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	Cardiac, Beta Blockers	0.05
diclofenac_epolamine	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	Misc Therapeutic Agents	1.0
ketoprofen	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	Analg/Antipyr,Nonstr/Antiinflm	0.162162162162
ethinyl_estradiol_norethindrone;ferrous_fuma	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	Contraceptive, Oral Comb	1.0
ciclesonide	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	Adrenals & Comb	1.0
codeine_phos_gg_pse_hcl	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	Antitussives/Cold Comb	0.1171875
oxcarbazepine	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	Anticonvulsants, Misc	0.31976744186
lithium_carbonate	Antimanic Agents	Antimanic Agents	Antimanic Agents	Antimanic Agents	Antimanic Agents	Antimanic Agents	Antimanic Agents	Antimanic Agents	Antimanic Agents	Antimanic Agents	0.0970464135021
glyburide_metformin_hydrochloride	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	Antidiabetic Ag, Sulfonylureas	0.146892655367
travoprost	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	Eye/Ear/Nose/Throat Misc	0.866666666667
